Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C92,0.1uF,C_0402_1005Metric,373.13,-105.95,0.0,top
C93,0.1uF,C_0402_1005Metric,381.13,-105.95,0.0,top
C94,0.1uF,C_0402_1005Metric,387.15,-105.575,0.0,top
C95,0.1uF,C_0402_1005Metric,149.13,-113.95,0.0,top
C96,0.1uF,C_0402_1005Metric,157.13,-113.95,0.0,top
C97,0.1uF,C_0402_1005Metric,165.13,-113.95,0.0,top
C98,0.1uF,C_0402_1005Metric,173.13,-113.95,0.0,top
C99,0.1uF,C_0402_1005Metric,181.13,-113.95,0.0,top
D1,ESDA25P35,TVS_ESDA25P35-1U1M,106.1875,-138.0,0.0,top
D100,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,337.15,-108.325,0.0,top
D101,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,345.15,-108.325,0.0,top
D102,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,353.15,-108.325,0.0,top
D103,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,361.15,-108.325,0.0,top
D104,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,369.15,-108.325,0.0,top
D105,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,377.15,-108.325,0.0,top
D106,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,385.15,-108.325,0.0,top
D107,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,145.15,-116.325,0.0,top
D108,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,153.15,-116.325,0.0,top
D109,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,161.15,-116.325,0.0,top
D110,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,169.15,-116.325,0.0,top
D111,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,177.15,-116.325,0.0,top
D112,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,185.15,-116.325,0.0,top
D113,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,193.15,-116.325,0.0,top
D114,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,201.15,-116.325,0.0,top
D115,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,209.15,-116.325,0.0,top
